timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-09-21,0.09175000,0.09756000,0.08443000,0.08610000,0.09175000,0.09756000,0.08443000,0.08610000,1405983090.20000005,1405983090.20000005
2021-09-20,0.10824000,0.10845000,0.08823000,0.09176000,0.10824000,0.10845000,0.08823000,0.09176000,1744245996.50000000,1744245996.50000000
2021-09-19,0.11297000,0.11407000,0.10660000,0.10824000,0.11297000,0.11407000,0.10660000,0.10824000,423097365.19999999,423097365.19999999
2021-09-18,0.11142000,0.11613000,0.11018000,0.11297000,0.11142000,0.11613000,0.11018000,0.11297000,448075447.19999999,448075447.19999999
2021-09-17,0.11665000,0.11788000,0.11046000,0.11145000,0.11665000,0.11788000,0.11046000,0.11145000,556161796.29999995,556161796.29999995
2021-09-16,0.12206000,0.12343000,0.11414000,0.11669000,0.12206000,0.12343000,0.11414000,0.11669000,695066647.60000002,695066647.60000002
2021-09-15,0.11762000,0.12337000,0.11519000,0.12206000,0.11762000,0.12337000,0.11519000,0.12206000,731169770.50000000,731169770.50000000
2021-09-14,0.11243000,0.11837000,0.11166000,0.11764000,0.11243000,0.11837000,0.11166000,0.11764000,630518090.70000005,630518090.70000005
2021-09-13,0.11991000,0.12211000,0.10850000,0.11245000,0.11991000,0.12211000,0.10850000,0.11245000,1017177341.29999995,1017177341.29999995
2021-09-12,0.11553000,0.12441000,0.11281000,0.11984000,0.11553000,0.12441000,0.11281000,0.11984000,906954285.10000002,906954285.10000002
2021-09-11,0.11249000,0.11936000,0.11117000,0.11549000,0.11249000,0.11936000,0.11117000,0.11549000,815100036.70000005,815100036.70000005
2021-09-10,0.12167000,0.12700000,0.11023000,0.11252000,0.12167000,0.12700000,0.11023000,0.11252000,1198535707.90000010,1198535707.90000010
2021-09-09,0.11837000,0.12766000,0.11705000,0.12163000,0.11837000,0.12766000,0.11705000,0.12163000,1409062825.50000000,1409062825.50000000
2021-09-08,0.12281000,0.12643000,0.10614000,0.11837000,0.12281000,0.12643000,0.10614000,0.11837000,1823695710.70000005,1823695710.70000005
2021-09-07,0.14998000,0.15300000,0.09800000,0.12286000,0.14998000,0.15300000,0.09800000,0.12286000,2942688763.90000010,2942688763.90000010
2021-09-06,0.15392000,0.15722000,0.14583000,0.14998000,0.15392000,0.15722000,0.14583000,0.14998000,1102349030.70000005,1102349030.70000005
2021-09-05,0.14480000,0.15418000,0.14380000,0.15391000,0.14480000,0.15418000,0.14380000,0.15391000,926403941.60000002,926403941.60000002
2021-09-04,0.14294000,0.15288000,0.14200000,0.14477000,0.14294000,0.15288000,0.14200000,0.14477000,1127744000.90000010,1127744000.90000010
2021-09-03,0.14309000,0.14777000,0.13900000,0.14294000,0.14309000,0.14777000,0.13900000,0.14294000,1328475330.59999990,1328475330.59999990
2021-09-02,0.13728000,0.14836000,0.13443000,0.14307000,0.13728000,0.14836000,0.13443000,0.14307000,2010473348.90000010,2010473348.90000010
2021-09-01,0.12279000,0.13975000,0.11914000,0.13728000,0.12279000,0.13975000,0.11914000,0.13728000,2139151837.09999990,2139151837.09999990
2021-08-31,0.11710000,0.12730000,0.11627000,0.12282000,0.11710000,0.12730000,0.11627000,0.12282000,1331488101.00000000,1331488101.00000000
2021-08-30,0.12354000,0.12402000,0.11662000,0.11709000,0.12354000,0.12402000,0.11662000,0.11709000,924907785.10000002,924907785.10000002
2021-08-29,0.12330000,0.12584000,0.11914000,0.12352000,0.12330000,0.12584000,0.11914000,0.12352000,661901101.00000000,661901101.00000000
2021-08-28,0.12810000,0.12831000,0.12121000,0.12328000,0.12810000,0.12831000,0.12121000,0.12328000,596426975.60000002,596426975.60000002
2021-08-27,0.11591000,0.12840000,0.11359000,0.12803000,0.11591000,0.12840000,0.11359000,0.12803000,1069906072.39999998,1069906072.39999998
2021-08-26,0.12750000,0.12945000,0.11502000,0.11591000,0.12750000,0.12945000,0.11502000,0.11591000,1167425254.40000010,1167425254.40000010
2021-08-25,0.12128000,0.12999000,0.11752000,0.12750000,0.12128000,0.12999000,0.11752000,0.12750000,1317963671.00000000,1317963671.00000000
2021-08-24,0.13165000,0.13718000,0.11979000,0.12128000,0.13165000,0.13718000,0.11979000,0.12128000,1644827527.70000005,1644827527.70000005
2021-08-23,0.12819000,0.13480000,0.12712000,0.13164000,0.12819000,0.13480000,0.12712000,0.13164000,1229867138.29999995,1229867138.29999995
2021-08-22,0.12822000,0.13280000,0.12325000,0.12817000,0.12822000,0.13280000,0.12325000,0.12817000,1013853893.89999998,1013853893.89999998
2021-08-21,0.13295000,0.13490000,0.12734000,0.12822000,0.13295000,0.13490000,0.12734000,0.12822000,1059117438.00000000,1059117438.00000000
