timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-09-18,621.40000000,638.30000000,614.20000000,630.80000000,621.40000000,638.30000000,614.20000000,630.80000000,54528.41800000,54528.41800000
2021-09-17,639.20000000,647.90000000,612.40000000,621.20000000,639.20000000,647.90000000,612.40000000,621.20000000,79876.62800000,79876.62800000
2021-09-16,652.50000000,655.30000000,625.70000000,639.20000000,652.50000000,655.30000000,625.70000000,639.20000000,77227.74000000,77227.74000000
2021-09-15,640.60000000,656.90000000,632.20000000,652.60000000,640.60000000,656.90000000,632.20000000,652.60000000,62783.18000000,62783.18000000
2021-09-14,614.10000000,642.80000000,608.40000000,640.70000000,614.10000000,642.80000000,608.40000000,640.70000000,73259.53900000,73259.53900000
2021-09-13,646.60000000,661.30000000,591.40000000,614.10000000,646.60000000,661.30000000,591.40000000,614.10000000,169513.76800000,169513.76800000
2021-09-12,636.20000000,655.30000000,623.10000000,646.50000000,636.20000000,655.30000000,623.10000000,646.50000000,63703.35600000,63703.35600000
2021-09-11,628.80000000,647.90000000,625.60000000,636.10000000,628.80000000,647.90000000,625.60000000,636.10000000,58841.44200000,58841.44200000
2021-09-10,661.40000000,673.90000000,617.90000000,628.90000000,661.40000000,673.90000000,617.90000000,628.90000000,89982.71500000,89982.71500000
2021-09-09,662.80000000,673.50000000,655.40000000,661.50000000,662.80000000,673.50000000,655.40000000,661.50000000,91459.42300000,91459.42300000
2021-09-08,673.50000000,679.60000000,644.10000000,662.70000000,673.50000000,679.60000000,644.10000000,662.70000000,130590.47400000,130590.47400000
2021-09-07,784.50000000,787.60000000,583.10000000,673.40000000,784.50000000,787.60000000,583.10000000,673.40000000,376360.05746000,376360.05746000
2021-09-06,764.50000000,803.60000000,741.20000000,784.50000000,764.50000000,803.60000000,741.20000000,784.50000000,233263.46948000,233263.46948000
2021-09-05,709.10000000,767.40000000,698.10000000,764.50000000,709.10000000,767.40000000,698.10000000,764.50000000,141345.97943000,141345.97943000
2021-09-04,713.60000000,737.50000000,696.40000000,709.00000000,713.60000000,737.50000000,696.40000000,709.00000000,162246.49484000,162246.49484000
2021-09-03,664.30000000,721.70000000,651.00000000,713.70000000,664.30000000,721.70000000,651.00000000,713.70000000,183097.98987000,183097.98987000
